# Initial geotherm for free slip calculation with same surface
# velocities as initial plate stage in Zhang et al. (2010) plate reconstruction.
# This profile was created by Shijie Zhong.
# Only next line is parsed in format: [nx] because of keyword "POINTS:" 
# POINTS: 49
depth temperature
0.000000e+00 0.000000e+00
3.000741e+04 3.910000e+02
6.001482e+04 7.132750e+02
9.002223e+04 9.408000e+02
1.200296e+05 1.086750e+03
1.500370e+05 1.179075e+03
1.933598e+05 1.276525e+03
2.366827e+05 1.344175e+03
2.800692e+05 1.373375e+03
3.233920e+05 1.383450e+03
3.667148e+05 1.386175e+03
4.100376e+05 1.385950e+03
4.534241e+05 1.384425e+03
4.967469e+05 1.382650e+03
5.400697e+05 1.380100e+03
5.834562e+05 1.376700e+03
6.267790e+05 1.375725e+03
6.701018e+05 1.374425e+03
7.443876e+05 1.371125e+03
8.186735e+05 1.368375e+03
8.929594e+05 1.364925e+03
9.672452e+05 1.360925e+03
1.041531e+06 1.356675e+03
1.115817e+06 1.352525e+03
1.190103e+06 1.348350e+03
1.264389e+06 1.343900e+03
1.338675e+06 1.339025e+03
1.412960e+06 1.333900e+03
1.487246e+06 1.328550e+03
1.561532e+06 1.322750e+03
1.635818e+06 1.316250e+03
1.710104e+06 1.308975e+03
1.784390e+06 1.301125e+03
1.858676e+06 1.292875e+03
1.932961e+06 1.284050e+03
2.007247e+06 1.274450e+03
2.081533e+06 1.264125e+03
2.155819e+06 1.253650e+03
2.230105e+06 1.245725e+03
2.304391e+06 1.248200e+03
2.378677e+06 1.290125e+03
2.452962e+06 1.411075e+03
2.527248e+06 1.752025e+03
2.601534e+06 2.120350e+03
2.675820e+06 2.254425e+03
2.723602e+06 2.290875e+03
2.771385e+06 2.303900e+03
2.819168e+06 2.306350e+03
2.866950e+06 2.500000e+03
